-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3242.70 ;   393.00 ; 40398.92 ;    10.63 ;     0.00 ;     0.00 ;    4260.41 ;  4000.00 ;  6300.00 ;     0.00 ;  17099.5 ;      88498.62 ;    43.31 ;      95074.33 ;    46.53 ;  103.74 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3244.70 ;   393.00 ; 36845.81 ;   115.60 ;     0.00 ;     0.00 ;    4845.09 ;  2282.53 ;  7000.00 ;     0.00 ;  17099.5 ;      88498.62 ;    43.31 ;      95074.33 ;    46.53 ;  102.53 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3235.70 ;   393.00 ; 27149.24 ;   115.60 ;     0.00 ;     0.00 ;    5329.86 ;  1900.00 ;  5463.31 ;     0.00 ;  17099.5 ;      88498.62 ;    43.31 ;      95074.33 ;    46.53 ;   96.37 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3239.83 ;   393.00 ; 32958.94 ;    90.61 ;     0.00 ;     0.00 ;    4942.49 ;  2504.74 ;  6083.28 ;     0.00 ;  17099.5 ;      88498.62 ;    43.31 ;      95074.33 ;    46.53 ;   99.81 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  4162.80 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    649.8 ;       4984.64 ;    25.05 ;       5157.36 ;    25.92 ;  104.70 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  2302.69 ;     0.00 ;     0.00 ;     0.00 ;   10421.91 ;    -     ;    -     ;     0.00 ;    649.8 ;       4984.64 ;    25.05 ;       5157.36 ;    25.92 ;  102.53 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1587.54 ;     0.00 ;     0.00 ;     0.00 ;    7760.46 ;    -     ;    -     ;     0.00 ;    649.8 ;       4984.64 ;    25.05 ;       5157.36 ;    25.92 ;   96.37 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  2396.51 ;     0.00 ;     0.00 ;     0.00 ;    9141.46 ;    -     ;    -     ;     0.00 ;    649.8 ;       4984.64 ;    25.05 ;       5157.36 ;    25.92 ;  100.04 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  3848.31 ;     0.00 ;     0.00 ;     0.00 ;    4539.59 ;    -     ;    -     ;     0.00 ;   2003.1 ;      30362.17 ;    58.84 ;      31060.08 ;    60.19 ;  103.74 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2003.1 ;      30362.17 ;    58.84 ;      31060.08 ;    60.19 ;  103.74 ;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;   399.20 ;     0.00 ;  2185.90 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2003.1 ;      30362.17 ;    58.84 ;      31060.08 ;    60.19 ;  103.08 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;   399.20 ;     0.00 ;  2866.88 ;     0.00 ;     0.00 ;     0.00 ;    4364.81 ;    -     ;    -     ;     0.00 ;   2003.1 ;      30362.17 ;    58.84 ;      31060.08 ;    60.19 ;  103.42 ;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   650.50 ;     0.00 ; 17929.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.07 ;    53.98 ;       9208.40 ;    61.10 ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   650.50 ;     0.00 ; 17884.00 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.07 ;    53.98 ;       9208.40 ;    61.10 ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 16045.60 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.07 ;    53.98 ;       9208.40 ;    61.10 ;    0.00 ;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   650.50 ;     0.00 ; 16997.54 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.07 ;    53.98 ;       9208.40 ;    61.10 ;    0.00 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3242.70 ;   393.00 ; 38872.50 ;     2.03 ;     0.00 ;     0.00 ;    5119.33 ;  4000.00 ;  6300.00 ;     0.00 ;  16855.5 ;      95074.33 ;    46.53 ;     101715.80 ;    49.78 ;  102.77 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3244.70 ;   393.00 ; 35393.89 ;   114.86 ;     0.00 ;     0.00 ;    5677.07 ;  2595.74 ;  7000.00 ;     0.00 ;  16855.5 ;      95074.33 ;    46.53 ;     101715.80 ;    49.78 ;  101.05 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  3235.70 ;   393.00 ; 26341.19 ;   115.60 ;     0.00 ;     0.00 ;    5634.31 ;  1900.00 ;  5336.72 ;     0.00 ;  16855.5 ;      95074.33 ;    46.53 ;     101715.80 ;    49.78 ;   94.97 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  3239.83 ;   393.00 ; 31803.55 ;    88.36 ;     0.00 ;     0.00 ;    5523.41 ;  2590.50 ;  6021.50 ;     0.00 ;  16855.5 ;      95074.33 ;    46.53 ;     101715.80 ;    49.78 ;   98.49 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   665.00 ;     0.00 ;  4045.81 ;     0.00 ;     0.00 ;     0.00 ;    9954.59 ;    -     ;    -     ;     0.00 ;    776.3 ;       5157.36 ;    25.92 ;       5448.34 ;    27.38 ;  102.77 ;
