***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: DECOMP     - Versao 30.1 - Jan/2020(L)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     


____________________________________________________________________

 PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPERADO        
____________________________________________________________________

--------------------------------------
Resultado de operacao dos subsistemas.                                          
--------------------------------------
---------------------------------------------------
IPER;      Indice do periodo                                                                                                                                                                            
ICEN;      Indice do cenario                                                                                                                                                                            
IPAT;      Patamar de Carga                                                                                                                                                                             
Dur;       Duracao                                                                                                                                                                                      
SIST;      Numero do subsistema                                                                                                                                                                         
Nome Sist; Nome do subsistema                                                                                                                                                                           
Demanda;   Demanda                                                                                                                                                                                      
GerPeq;    Geracao das pequenas usinas                                                                                                                                                                  
Gter;      Geracao Termoeletrica                                                                                                                                                                        
GterAT;    Geracao termica antecipada                                                                                                                                                                   
Ghid;      Geração hidroeletrica                                                                                                                                                                        
Cbomb;     Energia Consumida para bombeamento                                                                                                                                                           
Compra;    Energia importada                                                                                                                                                                            
Venda;     Energia exportada                                                                                                                                                                            
IntercLiq; Saldo da energia de intercambio                                                                                                                                                              
Itaipu50;  Geracao 50Hz de Itaipu                                                                                                                                                                       
Itaipu60;  Geracao 60Hz de Itaipu                                                                                                                                                                       
Deficit;   Deficit no Subsistema                                                                                                                                                                        
ENA;       Energia Afluente                                                                                                                                                                             
EarmInic;  Energia Armazenada Inicial                                                                                                                                                                   
EarmInic%; Energia Armazenada Inicial em percentual                                                                                                                                                     
EarmFim;   Energia Armazenada Final                                                                                                                                                                     
EarmFim%;  Energia Armazenada Final em percentual                                                                                                                                                       
CMO;       Custo Marginal de Operacao                                                                                                                                                                   
---------------------------------------------------

@Tabela
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;   1 ;  40.00 ;  1 ; SE            ;    50782.4 ;   3952.0 ;  3655.10 ;   554.00 ; 38782.21 ;     3.03 ;     0.00 ;     0.00 ;    5955.13 ;  1900.00 ;  6215.48 ;     0.00 ;  15134.9 ;      82392.49 ;    40.32 ;      86841.27 ;    42.50 ;  130.69 ;
   1 ;    1 ;   2 ;  46.00 ;  1 ; SE            ;    47719.2 ;   3952.0 ;  3655.10 ;   554.00 ; 36819.38 ;   115.60 ;     0.00 ;     0.00 ;    4919.32 ;  1900.00 ;  6263.48 ;     0.00 ;  15134.9 ;      82392.49 ;    40.32 ;      86841.27 ;    42.50 ;  128.85 ;
   1 ;    1 ;   3 ;  82.00 ;  1 ; SE            ;    38811.8 ;   3952.0 ;  3655.10 ;   554.00 ; 29531.37 ;   115.60 ;     0.00 ;     0.00 ;    2870.93 ;  1900.00 ;  3473.52 ;     0.00 ;  15134.9 ;      82392.49 ;    40.32 ;      86841.27 ;    42.50 ;  123.46 ;
   1 ;    1 ;  -  ;   -    ;  1 ; SE            ;    44100.9 ;   3952.0 ;  3655.10 ;   554.00 ; 33729.48 ;    88.80 ;     0.00 ;     0.00 ;    4166.13 ;  1900.00 ;  4890.29 ;     0.00 ;  15134.9 ;      82392.49 ;    40.32 ;      86841.27 ;    42.50 ;  126.66 ;
   1 ;    1 ;   1 ;  40.00 ;  2 ; S             ;    17763.2 ;   1773.0 ;   576.60 ;     0.00 ;  4913.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    411.7 ;       4938.25 ;    24.82 ;       4824.01 ;    24.24 ;  133.83 ;
   1 ;    1 ;   2 ;  46.00 ;  2 ; S             ;    15749.9 ;   1773.0 ;   642.50 ;     0.00 ;  2834.40 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    411.7 ;       4938.25 ;    24.82 ;       4824.01 ;    24.24 ;  131.49 ;
   1 ;    1 ;   3 ;  82.00 ;  2 ; S             ;    12242.5 ;   1773.0 ;   665.00 ;     0.00 ;  1574.90 ;     0.00 ;     0.00 ;     0.00 ;    8229.60 ;    -     ;    -     ;     0.00 ;    411.7 ;       4938.25 ;    24.82 ;       4824.01 ;    24.24 ;  123.46 ;
