
 CEPEL                       MODELO DE GERACAO DE SERIES SINTETICAS DE VAZOES E ENERGIAS - GEVAZP                    VERSAO  8_L                                     
                                                                                                                           PAG.   1
 PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     
 -----------------------------------------------------------------------------------------------------------------------------------
 DATA : 17-02-2020 HORA :  20:34:54 CASO :     PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ES
 -----------------------------------------------------------------------------------------------------------------------------------
             ,JAN               ,FEV               ,MAR               ,ABR               ,MAI               ,JUN               ,JUL               ,AGO               ,SET               ,OUT               ,NOV               ,DEZ               ,
 SALTO PILAO ,      115.73863636,      133.60227273,      105.23863636,       76.31818182,       92.51136364,       97.89772727,      117.28409091,      128.92045455,      159.71590909,      172.12500000,      114.25000000,       96.15909091,
 ROSAL       ,       60.72727273,       45.42045455,       44.53409091,       36.70454545,       25.54545455,       20.03409091,       17.35227273,       14.50000000,       14.28409091,       19.13636364,       37.17045455,       57.60227273,
 SINOP       ,     1433.00000000,     1608.68181818,     1623.71590909,     1292.20454545,      885.68181818,      658.79545455,      524.45454545,      443.65909091,      408.59090909,      476.70454545,      697.94318182,     1081.82954545,
 COLIDER     ,     1565.84090909,     1757.63636364,     1774.15909091,     1412.22727273,      967.82954545,      719.89772727,      573.07954545,      484.70454545,      446.42045455,      520.92045455,      762.53409091,     1182.13636364,
 TELES PIRES ,     3663.00000000,     4305.02272727,     4505.88636364,     3624.27272727,     2308.90909091,     1475.35227273,     1044.40909091,      803.55681818,      699.05681818,      880.80681818,     1468.72727273,     2561.70454545,
 SAO MANOEL  ,     3695.71590909,     4343.12500000,     4546.22727273,     3657.01136364,     2329.93181818,     1488.82954545,     1053.95454545,      810.87500000,      705.36363636,      888.79545455,     1482.95454545,     2585.46590909,
 SLT VERDINHO,      261.86363636,      282.06818182,      285.17045455,      229.95454545,      179.12500000,      155.52272727,      138.76136364,      128.50000000,      131.64772727,      150.07954545,      179.96590909,      222.89772727,
 OURINHOS    ,      524.85227273,      551.18181818,      458.31818182,      331.69318182,      309.44318182,      326.76136364,      282.88636364,      234.07954545,      261.76136364,      311.51136364,      294.25000000,      358.35227273,
 SERRA MESA  ,     1393.00000000,     1580.80681818,     1465.60227273,     1040.65909091,      551.87500000,      381.40909091,      286.84090909,      221.64772727,      209.81818182,      306.35227273,      557.11363636,     1038.75000000,
 CANA BRAVA  ,     1553.39772727,     1761.29545455,     1636.26136364,     1164.09090909,      620.52272727,      428.75000000,      324.42045455,      253.30681818,      238.44318182,      346.90909091,      627.61363636,     1156.77272727,
 SAO SALVADOR,     1707.48863636,     1942.88636364,     1820.68181818,     1316.98863636,      696.72727273,      470.51136364,      355.27272727,      277.59090909,      260.97727273,      372.92045455,      680.48863636,     1273.15909091,
 PEIXE ANGIC ,     3033.32954545,     3428.55681818,     3289.61363636,     2343.53409091,     1166.53409091,      764.23863636,      583.71590909,      468.12500000,      444.65909091,      613.25000000,     1163.26136364,     2264.84090909,
 LAJEADO     ,     4326.17045455,     4995.51136364,     5015.12500000,     3756.27272727,     1852.30681818,     1099.35227273,      789.86363636,      605.80681818,      550.55681818,      769.00000000,     1529.82954545,     3088.62500000,
 SALTO       ,      240.73863636,      259.22727273,      262.03409091,      210.79545455,      164.45454545,      142.81818182,      127.51136364,      118.11363636,      121.04545455,      138.00000000,      165.62500000,      204.87500000,
 ESTREITO TOC,     6718.97727273,     8135.76136364,     8623.09090909,     7193.21590909,     4026.06818182,     2295.42045455,     1624.51136364,     1254.06818182,     1129.72727273,     1458.57954545,     2538.71590909,     4660.84090909,
 CURUA-UNA   ,      142.56818182,      209.56818182,      320.35227273,      407.54545455,      384.97727273,      264.86363636,      195.65909091,      147.88636364,      127.97727273,      114.57954545,      114.72727273,      119.55681818,
 TUCURUI     ,    14838.02272727,    20321.15909091,    23791.22727273,    23763.79545455,    15383.07954545,     7186.51136364,     4121.25000000,     2887.85227273,     2279.34090909,     2556.88636364,     4252.88636364,     8419.60227273,
 RONDON II   ,      117.31818182,      135.35227273,      148.52272727,      111.52272727,       79.64772727,       64.12500000,       58.29545455,       54.02272727,       52.71590909,       56.92045455,       66.56818182,       89.17045455,
 BALBINA     ,      388.93181818,      585.02272727,      750.37500000,     1018.31818182,     1179.75000000,     1036.13636364,      665.53409091,      417.13636364,      312.59090909,      267.79545455,      265.77272727,      299.52272727,
 MANSO       ,      303.22727273,      344.84090909,      322.57954545,      214.69318182,      121.68181818,       90.92045455,       76.76136364,       68.26136364,       69.44318182,       93.03409091,      130.72727273,      207.76136364,
 SAMUEL      ,      481.53409091,      743.02272727,      846.01136364,      759.07954545,      462.02272727,      241.39772727,      141.01136364,       87.38636364,       61.72727273,       60.44318182,      120.35227273,      250.42045455,
 COARACY NUNE,      528.69318182,     1002.81818182,     1524.21590909,     1883.39772727,     2015.78409091,     1585.14772727,     1173.51136364,      784.88636364,      455.78409091,      273.89772727,      195.07954545,      239.44318182,
 PONTE PEDRA ,       86.43181818,       90.94318182,       92.04545455,       85.05681818,       77.21590909,       71.47727273,       67.30681818,       63.97727273,       63.45454545,       66.89772727,       72.25000000,       78.95454545,
 STA CLARA MG,      170.40909091,      120.78409091,      117.22727273,      103.52272727,       70.98863636,       60.02272727,       58.31818182,       49.12500000,       42.95454545,       59.52272727,      119.47727273,      179.18181818,
 FERREIRA GOM,      533.42045455,     1011.82954545,     1537.79545455,     1900.03409091,     2033.80681818,     1599.25000000,     1183.97727273,      792.03409091,      459.89772727,      276.43181818,      196.82954545,      241.63636364,
 JIRAU       ,    23593.61363636,    30321.85227273,    35050.20454545,    33860.79545455,    26133.13636364,    18231.77272727,    11628.31818182,     7137.21590909,     5296.47727273,     6339.52272727,    10080.02272727,    16158.65909091,
 STO ANT JARI,      676.18181818,     1067.00000000,     1378.80681818,     1831.69318182,     2145.47727273,     2069.72727273,     1452.43181818,      959.62500000,      594.15909091,      338.63636364,      245.50000000,      346.63636364,
 STO ANTONIO ,    23939.48863636,    30754.63636364,    35579.28409091,    34388.69318182,    26544.77272727,    18528.50000000,    11817.79545455,     7251.65909091,     5380.17045455,     6430.04545455,    10219.68181818,    16385.48863636,
 BELO MONTE  ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 ESPORA      ,       80.20454545,       85.04545455,       85.47727273,       73.09090909,       60.20454545,       54.07954545,       49.31818182,       46.47727273,       46.93181818,       51.11363636,       58.54545455,       69.90909091,
 ITIQUIRA I  ,      100.56818182,      113.88636364,      111.63636364,       89.43181818,       66.67045455,       56.95454545,       51.14772727,       47.25000000,       47.73863636,       52.22727273,       61.54545455,       80.62500000,
 ITIQUIRA II ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 DARDANELOS  ,      494.71590909,      738.65909091,      827.52272727,      728.43181818,      460.59090909,      215.59090909,       99.88636364,       57.37500000,       46.77272727,       53.54545455,       94.23863636,      229.68181818,
 CACU        ,      284.88636364,      316.50000000,      325.68181818,      251.10227273,      176.14772727,      138.48863636,      115.20454545,      100.18181818,      101.67045455,      125.15909091,      165.59090909,      229.69318182,
 B. COQUEIROS,      296.13636364,      329.14772727,      338.65909091,      261.38636364,      183.44318182,      144.18181818,      119.92045455,      104.27272727,      105.70454545,      130.22727273,      172.25000000,      238.95454545,
 PIMENTAL    ,     8012.06818182,    13278.62500000,    18107.44318182,    21214.31818182,    15322.48863636,     7286.05681818,     2921.31818182,     1578.54545455,     1080.79545455,     1100.64772727,     1871.30681818,     3843.15909091,
 FOZ R. CLARO,      316.87500000,      352.72727273,      362.71590909,      280.75000000,      196.94318182,      155.09090909,      128.95454545,      112.21590909,      113.73863636,      139.79545455,      184.20454545,      255.64772727,
 SOBRADINHO_L,     3167.31818182,     3291.02272727,     3283.84090909,     2632.42045455,     1592.19318182,     1087.61363636,      931.57954545,      824.06818182,      736.10227273,      803.50000000,     1312.88636364,     2375.23863636,
