
 CEPEL                       MODELO DE GERACAO DE SERIES SINTETICAS DE VAZOES E ENERGIAS - GEVAZP                    VERSAO  8_L                                     
                                                                                                                           PAG.   1
 PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     
 -----------------------------------------------------------------------------------------------------------------------------------
 DATA : 17-02-2020 HORA :  20:34:54 CASO :     PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ES
 -----------------------------------------------------------------------------------------------------------------------------------
             ,JAN               ,FEV               ,MAR               ,ABR               ,MAI               ,JUN               ,JUL               ,AGO               ,SET               ,OUT               ,NOV               ,DEZ               ,
 BARRA BONITA,      748.81818182,      779.27272727,      668.13636364,      437.54545455,      349.61363636,      349.55681818,      273.05681818,      232.20454545,      254.84090909,      312.93181818,      341.94318182,      508.62500000,
 A.S. LIMA   ,      831.88636364,      869.32954545,      747.18181818,      493.93181818,      394.65909091,      395.05681818,      308.06818182,      263.21590909,      286.30681818,      347.25000000,      380.82954545,      562.64772727,
 IBITINGA    ,      979.37500000,     1020.89772727,      883.61363636,      601.12500000,      483.57954545,      480.44318182,      382.06818182,      328.93181818,      352.67045455,      419.45454545,      458.12500000,      671.23863636,
 PROMISSAO   ,     1171.90909091,     1224.77272727,     1068.64772727,      723.19318182,      582.69318182,      576.59090909,      463.47727273,      403.15909091,      430.04545455,      503.47727273,      546.84090909,      800.28409091,
 NAVANHANDAVA,     1256.73863636,     1317.31818182,     1145.13636364,      772.76136364,      618.85227273,      613.98863636,      491.67045455,      426.98863636,      454.45454545,      534.35227273,      581.70454545,      852.92045455,
 TRES IRMAOS ,     1313.85227273,     1403.43181818,     1232.44318182,      842.88636364,      661.48863636,      659.78409091,      529.31818182,      460.59090909,      482.90909091,      566.11363636,      613.39772727,      891.20454545,
 JUPIA       ,    10531.17045455,    11064.55681818,    10523.85227273,     7887.09090909,     5567.75000000,     4721.71590909,     3879.11363636,     3310.31818182,     3199.78409091,     3658.69318182,     4811.60227273,     7461.53409091,
 P. PRIMAVERA,    11420.88636364,    12197.71590909,    11632.90909091,     8931.87500000,     6468.53409091,     5618.76136364,     4602.77272727,     3931.13636364,     3821.53409091,     4329.73863636,     5476.96590909,     8143.65909091,
 A.A. LAYDNER,      333.38636364,      366.40909091,      310.96590909,      220.36363636,      194.85227273,      205.67045455,      176.96590909,      148.35227273,      160.75000000,      191.11363636,      185.40909091,      233.56818182,
 PIRAJU      ,      340.85227273,      375.15909091,      318.92045455,      226.10227273,      199.39772727,      211.01136364,      181.52272727,      152.18181818,      164.51136364,      195.90909091,      190.03409091,      238.73863636,
 CHAVANTES   ,      518.85227273,      544.60227273,      452.46590909,      327.22727273,      305.59090909,      322.48863636,      279.11363636,      230.88636364,      258.46590909,      307.64772727,      290.46590909,      354.29545455,
 L.N. GARCEZ ,      672.89772727,      715.34090909,      607.20454545,      449.60227273,      415.39772727,      436.12500000,      372.92045455,      313.43181818,      343.27272727,      402.11363636,      386.53409091,      469.82954545,
 CANOAS II   ,      683.55681818,      728.09090909,      619.10227273,      459.15909091,      423.52272727,      444.87500000,      380.31818182,      319.89772727,      349.59090909,      409.51136364,      394.02272727,      478.07954545,
 CANOAS I    ,      707.46590909,      755.07954545,      643.93181818,      478.82954545,      441.03409091,      463.42045455,      395.78409091,      333.37500000,      363.29545455,      425.19318182,      409.93181818,      496.20454545,
 MAUA        ,      313.98863636,      315.14772727,      259.48863636,      194.47727273,      237.26136364,      291.39772727,      289.55681818,      230.20454545,      261.38636364,      341.17045455,      285.42045455,      258.67045455,
 CAPIVARA    ,     1546.90909091,     1580.35227273,     1300.01136364,      989.60227273,     1002.17045455,     1110.47727273,      987.67045455,      808.01136364,      892.92045455,     1112.36363636,     1028.25000000,     1114.93181818,
 TAQUARUCU   ,     1620.40909091,     1659.82954545,     1369.82954545,     1044.07954545,     1055.55681818,     1170.48863636,     1045.53409091,      856.10227273,      940.90909091,     1175.65909091,     1087.38636364,     1172.18181818,
 ROSANA      ,     1789.22727273,     1838.78409091,     1536.90909091,     1175.97727273,     1182.02272727,     1315.77272727,     1176.42045455,      972.73863636,     1055.94318182,     1320.09090909,     1230.32954545,     1312.60227273,
 ITAIPU      ,    14924.04545455,    16088.53409091,    15078.97727273,    11974.03409091,     9648.56818182,     9042.26136364,     7615.45454545,     6383.23863636,     6414.11363636,     7699.20454545,     8544.64772727,    11198.01136364,
 STA CLARA PR,       94.43181818,       95.35227273,       81.78409091,       79.92045455,      106.70454545,      131.48863636,      119.61363636,       89.39772727,      109.89772727,      139.78409091,      109.59090909,       93.31818182,
 FUNDAO      ,       99.07954545,      100.07954545,       85.95454545,       83.88636364,      112.01136364,      137.84090909,      125.36363636,       93.81818182,      115.28409091,      146.78409091,      115.06818182,       97.82954545,
 JORDAO      ,      117.43181818,      117.81818182,      102.12500000,       99.90909091,      133.90909091,      164.39772727,      149.48863636,      111.90909091,      136.93181818,      172.80681818,      136.81818182,      115.70454545,
 G.B. MUNHOZ ,      624.69318182,      677.31818182,      611.14772727,      481.57954545,      579.46590909,      719.89772727,      727.32954545,      612.22727273,      720.23863636,      936.46590909,      696.61363636,      581.30681818,
 SEGREDO     ,      715.68181818,      771.78409091,      693.68181818,      562.89772727,      684.98863636,      852.45454545,      846.14772727,      704.64772727,      831.40909091,     1086.26136364,      811.55681818,      668.39772727,
 SLT.SANTIAGO,      929.90909091,      990.51136364,      876.00000000,      757.19318182,      943.78409091,     1182.03409091,     1141.65909091,      925.85227273,     1095.84090909,     1446.21590909,     1085.12500000,      882.06818182,
 SALTO OSORIO,      968.81818182,     1031.30681818,      914.94318182,      792.93181818,      991.23863636,     1240.17045455,     1195.82954545,      968.77272727,     1140.36363636,     1521.03409091,     1144.14772727,      924.88636364,
 SALTO CAXIAS,     1203.04545455,     1275.53409091,     1132.76136364,     1023.28409091,     1320.32954545,     1647.67045455,     1540.59090909,     1248.86363636,     1448.88636364,     1964.73863636,     1484.28409091,     1183.52272727,
 BAIXO IGUACU,     1300.28409091,     1378.56818182,     1224.46590909,     1106.15909091,     1427.31818182,     1780.43181818,     1664.98863636,     1349.75000000,     1566.20454545,     2123.42045455,     1604.48863636,     1279.11363636,
 BARRA GRANDE,      187.04545455,      235.09090909,      178.34090909,      185.92045455,      253.39772727,      296.28409091,      361.28409091,      373.38636364,      432.76136364,      393.64772727,      234.43181818,      188.34090909,
 GARIBALDI   ,      219.00000000,      261.68181818,      212.68181818,      191.82954545,      253.12500000,      293.29545455,      332.62500000,      337.48863636,      410.90909091,      437.10227273,      284.11363636,      205.12500000,
 CAMPOS NOVOS,      237.14772727,      284.44318182,      230.36363636,      211.51136364,      282.09090909,      327.68181818,      370.96590909,      375.61363636,      456.61363636,      485.21590909,      314.10227273,      225.55681818,
 MACHADINHO  ,      515.75000000,      633.44318182,      498.35227273,      497.98863636,      683.02272727,      796.52272727,      926.79545455,      941.98863636,     1109.57954545,     1116.18181818,      695.37500000,      517.55681818,
 ITA         ,      702.63636364,      857.01136364,      681.73863636,      703.65909091,      984.29545455,     1158.89772727,     1310.42045455,     1335.71590909,     1562.07954545,     1586.13636364,      992.03409091,      729.46590909,
 PASSO FUNDO ,       35.71590909,       34.27272727,       29.21590909,       36.71590909,       56.42045455,       71.86363636,       78.09090909,       70.00000000,       78.11363636,       85.02272727,       59.43181818,       45.68181818,
 MONJOLINHO  ,       62.28409091,       58.96590909,       50.60227273,       63.95454545,       98.19318182,      123.06818182,      134.19318182,      117.38636364,      130.15909091,      148.11363636,      104.32954545,       79.56818182,
 QUEBRA QUEIX,       57.93181818,       66.00000000,       57.09090909,       57.84090909,       82.62500000,       96.00000000,       91.96590909,       86.69318182,       97.85227273,      122.77272727,       83.82954545,       62.81818182,
 CASTRO ALVES,       96.07954545,      119.89772727,       93.15909091,      100.90909091,      128.59090909,      179.63636364,      224.71590909,      226.94318182,      252.39772727,      216.56818182,      124.20454545,       98.09090909,
 MONTE CLARO ,      163.85227273,      202.11363636,      157.37500000,      176.45454545,      241.57954545,      326.07954545,      411.94318182,      412.01136364,      467.11363636,      404.06818182,      227.57954545,      181.67045455,
 14 DE JULHO ,      169.45454545,      208.85227273,      163.22727273,      182.22727273,      249.67045455,      337.22727273,      426.40909091,      426.44318182,      483.00000000,      418.87500000,      236.39772727,      187.97727273,
 SAO JOSE    ,      167.29545455,      145.23863636,      125.15909091,      192.84090909,      251.44318182,      303.92045455,      291.73863636,      276.88636364,      323.62500000,      368.02272727,      276.80681818,      218.80681818,
 PASSO S JOAO,      174.00000000,      150.87500000,      130.01136364,      198.87500000,      260.07954545,      315.78409091,      303.35227273,      287.50000000,      335.01136364,      382.11363636,      288.62500000,      227.42045455,
 FOZ CHAPECO ,      851.97727273,     1015.20454545,      822.09090909,      865.01136364,     1216.81818182,     1456.10227273,     1624.48863636,     1636.90909091,     1886.65909091,     1936.19318182,     1246.03409091,      918.03409091,
 EDGARD SOUZA,      177.40909091,      183.28409091,      162.28409091,      106.92045455,       83.31818182,       78.59090909,       64.21590909,       55.56818182,       70.92045455,       90.37500000,       99.97727273,      130.76136364,
 TRAICAO     ,       45.92045455,       45.92045455,       41.98863636,       29.98863636,       23.14772727,       21.62500000,       18.13636364,       16.32954545,       21.71590909,       26.92045455,       27.46590909,       35.56818182,
 PEDREIRA    ,       25.96590909,       25.46590909,       23.45454545,       16.90909091,       12.45454545,       11.26136364,        9.31818182,        8.48863636,       12.23863636,       15.52272727,       15.87500000,       20.70454545,
 ERNESTINA   ,       21.75000000,       20.06818182,       16.34090909,       21.12500000,       28.79545455,       34.55681818,       39.61363636,       40.02272727,       43.20454545,       46.40909091,       32.70454545,       24.85227273,
 PASSO REAL  ,      140.04545455,      125.31818182,      107.48863636,      143.31818182,      197.72727273,      246.44318182,      271.44318182,      270.29545455,      309.44318182,      314.72727273,      223.46590909,      177.34090909,
 JACUI       ,      141.53409091,      126.34090909,      108.54545455,      144.62500000,      199.47727273,      248.55681818,      273.78409091,      272.38636364,      311.94318182,      317.27272727,      225.18181818,      178.77272727,
 ITAUBA      ,      175.14772727,      157.15909091,      136.26136364,      184.12500000,      253.64772727,      315.81818182,      351.61363636,      343.23863636,      396.54545455,      402.30681818,      290.07954545,      222.55681818,
 D. FRANCISCA,      213.11363636,      194.21590909,      169.48863636,      233.76136364,      310.30681818,      400.56818182,      442.67045455,      418.50000000,      481.53409091,      486.40909091,      346.86363636,      268.59090909,
 G.P. SOUZA  ,       25.57954545,       27.46590909,       24.14772727,       18.18181818,       17.29545455,       17.02272727,       16.77272727,       14.61363636,       18.07954545,       20.54545455,       19.51136364,       20.61363636,
 GUARAPIRANGA,       19.95454545,       20.45454545,       18.53409091,       13.07954545,       10.69318182,       10.36363636,        8.81818182,        7.84090909,        9.47727273,       11.39772727,       11.59090909,       14.86363636,
 BILLINGS    ,       30.14772727,       29.78409091,       26.78409091,       18.17045455,       12.81818182,       11.54545455,        9.72727273,        9.11363636,       13.73863636,       18.01136364,       18.48863636,       23.86363636,
 HENRY BORDEN,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 JAGUARI     ,       44.60227273,       47.14772727,       45.27272727,       32.69318182,       26.19318182,       23.29545455,       19.42045455,       16.95454545,       17.56818182,       20.00000000,       23.30681818,       33.03409091,
 PARAIBUNA   ,      105.50000000,      110.57954545,      101.68181818,       78.39772727,       60.56818182,       53.94318182,       46.98863636,       41.73863636,       44.27272727,       50.34090909,       58.36363636,       78.20454545,
 SANTA BRANCA,      120.31818182,      126.89772727,      115.48863636,       89.07954545,       69.22727273,       62.01136364,       53.71590909,       47.50000000,       50.48863636,       57.20454545,       66.57954545,       88.56818182,
 FUNIL       ,      375.85227273,      393.40909091,      382.19318182,      269.77272727,      188.39772727,      165.27272727,      138.88636364,      119.06818182,      122.80681818,      147.02272727,      184.82954545,      265.64772727,
 LAJES       ,       10.05681818,        9.14772727,        9.28409091,        6.57954545,        4.51136364,        3.45454545,        2.79545455,        2.28409091,        2.64772727,        3.17045455,        4.84090909,        7.73863636,
 STA CECILIA ,      493.05681818,      509.64772727,      488.69318182,      340.65909091,      238.90909091,      207.19318182,      172.00000000,      146.82954545,      151.37500000,      181.93181818,      239.25000000,      347.04545455,
 PICADA      ,       62.89772727,       61.70454545,       56.63636364,       41.78409091,       32.20454545,       27.86363636,       24.17045455,       21.37500000,       21.11363636,       24.19318182,       33.82954545,       48.65909091,
 SOBRAGI     ,      126.10227273,      121.18181818,      111.12500000,       82.04545455,       63.71590909,       55.12500000,       48.04545455,       42.86363636,       43.30681818,       49.62500000,       68.85227273,      100.59090909,
 SIMPLICIO   ,      952.69318182,      944.57954545,      890.80681818,      646.36363636,      461.76136364,      389.97727273,      328.09090909,      281.81818182,      285.78409091,      338.27272727,      465.84090909,      691.76136364,
 ILHA POMBOS ,     1063.54545455,     1058.19318182,      997.73863636,      718.67045455,      510.09090909,      429.97727273,      360.89772727,      309.72727273,      314.52272727,      374.09090909,      515.71590909,      772.60227273,
 NILO PECANHA,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 P. PASSOS   ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 SALTO GRANDE,      287.55681818,      234.28409091,      209.14772727,      157.51136364,      113.15909091,       92.75000000,       78.88636364,       68.44318182,       65.76136364,       83.67045455,      157.92045455,      251.84090909,
