 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;    5 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      95.85 ;     229.69 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     131.09 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     131.09 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     130.71 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     131.09 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     131.09 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     130.71 ;     151.42 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     128.39 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     128.06 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     125.61 ;     229.69 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      99.01 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      99.01 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      98.53 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      99.01 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      99.01 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      98.53 ;     151.42 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      95.56 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      95.47 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      90.17 ;     229.69 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      37.78 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      37.78 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      37.64 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      37.78 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      37.78 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      37.64 ;     151.42 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      37.03 ;     229.69 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      37.03 ;     229.69 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      35.88 ;     229.69 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      90.69 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      90.69 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      90.35 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      90.69 ;     151.42 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      90.69 ;     151.42 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      90.35 ;     151.42 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      90.32 ;     229.69 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      90.32 ;     229.69 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      88.19 ;     229.69 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      90.15 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      90.15 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      89.50 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      90.15 ;     151.42 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      90.15 ;     151.42 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      89.50 ;     151.42 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      89.09 ;     229.69 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      89.04 ;     229.69 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      85.07 ;     229.69 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      57.36 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      57.36 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      57.24 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      57.36 ;     151.42 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      57.36 ;     151.42 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      57.24 ;     151.42 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      56.36 ;     229.69 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      56.35 ;     229.69 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      54.16 ;     229.69 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     140.87 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     140.87 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     140.69 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     140.87 ;     151.42 ;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     140.87 ;     151.42 ;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     140.69 ;     151.42 ;
    6 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     139.04 ;     229.69 ;
    6 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     138.53 ;     229.69 ;
    6 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     136.95 ;     229.69 ;
    6 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      60.85 ;     103.74 ;
    6 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      60.85 ;     103.74 ;
    6 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      60.47 ;     103.74 ;
    6 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      60.85 ;     151.42 ;
    6 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      60.85 ;     151.42 ;
    6 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      60.47 ;     151.42 ;
    6 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      55.08 ;     229.69 ;
    6 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      55.07 ;     229.69 ;
    6 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      52.41 ;     229.69 ;
