 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     120.97 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     120.97 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     120.86 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     120.97 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     120.97 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     120.86 ;     151.42 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     118.46 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     118.46 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     118.30 ;     229.69 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     125.63 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     125.63 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     125.44 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     125.63 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     125.63 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     125.44 ;     151.42 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     124.96 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     124.89 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     123.52 ;     229.69 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     136.81 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     136.81 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     136.65 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     136.81 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     136.81 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     136.65 ;     151.42 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     136.13 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     136.04 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     135.44 ;     229.69 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      98.35 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      98.35 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      98.20 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      98.35 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      98.35 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      98.20 ;     151.42 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      97.83 ;     229.69 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      97.74 ;     229.69 ;
