-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3280.80 ;   393.00 ; 37888.63 ;    10.03 ;     0.00 ;     0.00 ;    6732.00 ;  2258.81 ;  6300.00 ;     0.00 ;  13396.0 ;      86419.61 ;    42.30 ;      89381.29 ;    43.75 ;  149.17 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3282.80 ;   393.00 ; 35909.67 ;   114.11 ;     0.00 ;     0.00 ;    5741.65 ;  1900.00 ;  6634.43 ;     0.00 ;  13396.0 ;      86419.61 ;    42.30 ;      89381.29 ;    43.75 ;  147.85 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3273.80 ;   393.00 ; 28287.67 ;   115.60 ;     0.00 ;     0.00 ;    4153.33 ;  1900.00 ;  3936.27 ;     0.00 ;  13396.0 ;      86419.61 ;    42.30 ;      89381.29 ;    43.75 ;  142.26 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3277.93 ;   393.00 ; 32660.59 ;    90.06 ;     0.00 ;     0.00 ;    5202.20 ;  1985.43 ;  5237.84 ;     0.00 ;  13396.0 ;      86419.61 ;    42.30 ;      89381.29 ;    43.75 ;  145.44 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;  1265.70 ;     0.00 ;  3562.10 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    354.2 ;       4969.88 ;    24.98 ;       4968.89 ;    24.97 ;  266.21 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;  1170.20 ;     0.00 ;  1719.40 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    354.2 ;       4969.88 ;    24.98 ;       4968.89 ;    24.97 ;  247.02 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1267.93 ;     0.00 ;     0.00 ;     0.00 ;    8080.07 ;    -     ;    -     ;     0.00 ;    354.2 ;       4969.88 ;    24.98 ;       4968.89 ;    24.97 ;  142.26 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   946.35 ;     0.00 ;  1937.78 ;     0.00 ;     0.00 ;     0.00 ;    9318.85 ;    -     ;    -     ;     0.00 ;    354.2 ;       4969.88 ;    24.98 ;       4968.89 ;    24.97 ;  200.46 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;  1668.10 ;     0.00 ;  5051.00 ;     0.00 ;     0.00 ;     0.00 ;    2068.00 ;    -     ;    -     ;     0.00 ;   2065.5 ;      30354.00 ;    58.82 ;      31230.22 ;    60.52 ;  149.17 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;  1668.10 ;     0.00 ;  3298.71 ;     0.00 ;     0.00 ;     0.00 ;    3392.79 ;    -     ;    -     ;     0.00 ;   2065.5 ;      30354.00 ;    58.82 ;      31230.22 ;    60.52 ;  147.85 ;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;  1668.10 ;     0.00 ;  1587.14 ;     0.00 ;     0.00 ;     0.00 ;    3402.86 ;    -     ;    -     ;     0.00 ;   2065.5 ;      30354.00 ;    58.82 ;      31230.22 ;    60.52 ;  142.26 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;  1668.10 ;     0.00 ;  2880.51 ;     0.00 ;     0.00 ;     0.00 ;    3082.28 ;    -     ;    -     ;     0.00 ;   2065.5 ;      30354.00 ;    58.82 ;      31230.22 ;    60.52 ;  145.44 ;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   650.50 ;     0.00 ; 17929.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3364.8 ;       8095.52 ;    53.72 ;       9127.50 ;    60.56 ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   650.50 ;     0.00 ; 17884.00 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3364.8 ;       8095.52 ;    53.72 ;       9127.50 ;    60.56 ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 16045.60 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3364.8 ;       8095.52 ;    53.72 ;       9127.50 ;    60.56 ;    0.00 ;
