 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;    5 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     141.59 ;     229.69 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     147.18 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     147.18 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     146.92 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     147.18 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     147.18 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     146.92 ;     151.42 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     141.79 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     140.50 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     138.41 ;     229.69 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     131.21 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     131.21 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     131.02 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     131.21 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     131.21 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     131.02 ;     151.42 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     128.70 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     128.15 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     126.15 ;     229.69 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      60.66 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      60.66 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      60.46 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      60.66 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      60.66 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      60.46 ;     151.42 ;
