 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     107.48 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     107.48 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     107.38 ;     103.74 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     107.48 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     107.48 ;     151.42 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     107.38 ;     151.42 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     105.24 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     105.24 ;     229.69 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     105.15 ;     229.69 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     108.17 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     108.17 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     107.98 ;     103.74 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     108.17 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     108.17 ;     151.42 ;
    6 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     107.98 ;     151.42 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     107.89 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     107.82 ;     229.69 ;
    6 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     106.46 ;     229.69 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     121.08 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     121.08 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     120.89 ;     103.74 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     121.08 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     121.08 ;     151.42 ;
    6 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     120.89 ;     151.42 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     121.05 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     120.99 ;     229.69 ;
    6 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     119.93 ;     229.69 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      86.01 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      86.01 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      85.95 ;     103.74 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      86.01 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      86.01 ;     151.42 ;
    6 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      85.95 ;     151.42 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      85.53 ;     229.69 ;
    6 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      85.53 ;     229.69 ;
