-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3242.70 ;   393.00 ; 40213.65 ;    10.63 ;     0.00 ;     0.00 ;    4445.67 ;  3482.33 ;  6300.00 ;     0.00 ;  16252.6 ;      87468.96 ;    42.81 ;      93235.85 ;    45.63 ;  116.70 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3244.70 ;   393.00 ; 37283.53 ;   115.60 ;     0.00 ;     0.00 ;    4407.37 ;  1900.00 ;  6640.37 ;     0.00 ;  16252.6 ;      87468.96 ;    42.81 ;      93235.85 ;    45.63 ;  115.39 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3235.70 ;   393.00 ; 28918.79 ;   115.60 ;     0.00 ;     0.00 ;    3560.31 ;  1900.00 ;  3866.91 ;     0.00 ;  16252.6 ;      87468.96 ;    42.81 ;      93235.85 ;    45.63 ;  109.54 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3239.83 ;   393.00 ; 33898.39 ;    90.61 ;     0.00 ;     0.00 ;    4003.04 ;  2276.74 ;  5205.62 ;     0.00 ;  16252.6 ;      87468.96 ;    42.81 ;      93235.85 ;    45.63 ;  112.85 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  4162.80 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    479.1 ;       4822.02 ;    24.23 ;       4859.51 ;    24.42 ;  141.10 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  2224.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    479.1 ;       4822.02 ;    24.23 ;       4859.51 ;    24.42 ;  138.21 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1414.39 ;     0.00 ;     0.00 ;     0.00 ;    7933.61 ;    -     ;    -     ;     0.00 ;    479.1 ;       4822.02 ;    24.23 ;       4859.51 ;    24.42 ;  109.54 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  2290.62 ;     0.00 ;     0.00 ;     0.00 ;    9247.36 ;    -     ;    -     ;     0.00 ;    479.1 ;       4822.02 ;    24.23 ;       4859.51 ;    24.42 ;  124.90 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  4033.57 ;     0.00 ;     0.00 ;     0.00 ;    4354.33 ;    -     ;    -     ;     0.00 ;   1925.6 ;      30417.07 ;    58.94 ;      31182.47 ;    60.42 ;  116.70 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   1925.6 ;      30417.07 ;    58.94 ;      31182.47 ;    60.42 ;  116.69 ;
