 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;    5 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      64.39 ;     229.69 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      73.57 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      73.57 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      73.37 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      73.57 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      73.57 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      73.37 ;     151.42 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      72.81 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      72.81 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      70.93 ;     229.69 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      60.66 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      60.66 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      60.46 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      60.66 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      60.66 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      60.46 ;     151.42 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      60.03 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      60.03 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      58.57 ;     229.69 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      12.25 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      12.25 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      12.24 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      12.25 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      12.25 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      12.24 ;     151.42 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      12.04 ;     229.69 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      12.04 ;     229.69 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      11.79 ;     229.69 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      47.81 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      47.81 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      47.58 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      47.81 ;     151.42 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      47.81 ;     151.42 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      47.58 ;     151.42 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      47.64 ;     229.69 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      47.64 ;     229.69 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      46.09 ;     229.69 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      47.81 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      47.81 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      47.58 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      47.81 ;     151.42 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      47.81 ;     151.42 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      47.58 ;     151.42 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      47.64 ;     229.69 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      47.64 ;     229.69 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      46.09 ;     229.69 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      25.04 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      25.04 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      24.91 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      25.04 ;     151.42 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      25.04 ;     151.42 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      24.91 ;     151.42 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      24.48 ;     229.69 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      24.48 ;     229.69 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      23.90 ;     229.69 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      86.82 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      86.82 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      86.57 ;     103.74 ;
