-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  2662.70 ;   393.00 ; 40063.18 ;    30.56 ;     0.00 ;     0.00 ;    5196.09 ;  4000.00 ;  6300.00 ;     0.00 ;  20156.9 ;      92503.02 ;    45.27 ;     101888.43 ;    49.87 ;    3.87 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  2663.70 ;   393.00 ; 36939.58 ;   115.60 ;     0.00 ;     0.00 ;    5332.32 ;  4191.26 ;  7000.00 ;     0.00 ;  20156.9 ;      92503.02 ;    45.27 ;     101888.43 ;    49.87 ;    3.65 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  2656.70 ;   393.00 ; 26841.80 ;   115.60 ;     0.00 ;     0.00 ;    6216.30 ;  1900.00 ;  6237.58 ;     0.00 ;  20156.9 ;      92503.02 ;    45.27 ;     101888.43 ;    49.87 ;    1.99 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  2660.05 ;   393.00 ; 32754.61 ;    95.35 ;     0.00 ;     0.00 ;    5731.35 ;  3027.37 ;  6461.20 ;     0.00 ;  20156.9 ;      92503.02 ;    45.27 ;     101888.43 ;    49.87 ;    2.89 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   482.00 ;     0.00 ;  5640.89 ;     0.00 ;     0.00 ;     0.00 ;    9204.91 ;    -     ;    -     ;     0.00 ;   1425.6 ;       5864.98 ;    29.48 ;       6650.92 ;    33.43 ;    3.87 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   482.00 ;     0.00 ;  2972.92 ;     0.00 ;     0.00 ;     0.00 ;    9934.68 ;    -     ;    -     ;     0.00 ;   1425.6 ;       5864.98 ;    29.48 ;       6650.92 ;    33.43 ;    3.65 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   482.00 ;     0.00 ;  1882.72 ;     0.00 ;     0.00 ;     0.00 ;    7648.28 ;    -     ;    -     ;     0.00 ;   1425.6 ;       5864.98 ;    29.48 ;       6650.92 ;    33.43 ;    1.99 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   482.00 ;     0.00 ;  3076.03 ;     0.00 ;     0.00 ;     0.00 ;    8644.94 ;    -     ;    -     ;     0.00 ;   1425.6 ;       5864.98 ;    29.48 ;       6650.92 ;    33.43 ;    2.89 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  3488.90 ;     0.00 ;     0.00 ;     0.00 ;    4899.00 ;    -     ;    -     ;     0.00 ;   2303.2 ;      30431.82 ;    58.97 ;      31362.25 ;    60.77 ;   45.88 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2303.2 ;      30431.82 ;    58.97 ;      31362.25 ;    60.77 ;   45.88 ;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;   399.20 ;     0.00 ;  2185.90 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2303.2 ;      30431.82 ;    58.97 ;      31362.25 ;    60.77 ;   45.59 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;   399.20 ;     0.00 ;  2781.31 ;     0.00 ;     0.00 ;     0.00 ;    4450.38 ;    -     ;    -     ;     0.00 ;   2303.2 ;      30431.82 ;    58.97 ;      31362.25 ;    60.77 ;   45.74 ;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   650.50 ;     0.00 ; 17929.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3357.5 ;       8105.37 ;    53.78 ;       9152.94 ;    60.73 ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   650.50 ;     0.00 ; 17884.00 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3357.5 ;       8105.37 ;    53.78 ;       9152.94 ;    60.73 ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 16045.60 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3357.5 ;       8105.37 ;    53.78 ;       9152.94 ;    60.73 ;    0.00 ;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   650.50 ;     0.00 ; 16997.54 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3357.5 ;       8105.37 ;    53.78 ;       9152.94 ;    60.73 ;    0.00 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
