 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;    5 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     119.93 ;     229.69 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     142.36 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     142.36 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     142.25 ;     103.74 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     142.36 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     142.36 ;     151.42 ;
    6 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     142.25 ;     151.42 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     140.86 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     140.72 ;     229.69 ;
    6 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     140.30 ;     229.69 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     120.71 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     120.71 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     120.56 ;     103.74 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     120.71 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     120.71 ;     151.42 ;
    6 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     120.56 ;     151.42 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     120.15 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     119.90 ;     229.69 ;
    6 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     118.68 ;     229.69 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      47.81 ;     103.74 ;
